Namen,Fahrten,Anteil (%)
Spreitenbach,19036,23.7
Dietikon,15580,19.4
Zürich,6194,7.7
Schlieren,1989,2.5
Wettingen,1811,2.3
Geroldswil,1746,2.2
Würenlos,1428,1.8
Urdorf,1227,1.5
Baden,1167,1.5
Neuenhof,1083,1.3
Regensdorf,924,1.1
Killwangen,866,1.1
Bremgarten (AG),785,1.0
Bergdietikon,753,0.9
Oetwil an der Limmat,706,0.9
Kloten,698,0.9
Rudolfstetten-Friedlisberg,563,0.7
Weiningen (ZH),496,0.6
Winterthur,470,0.6
Dübendorf,439,0.5
