Namen,Fahrten,Anteil (%)
Dietikon,4493,21.5
Zürich,3282,15.7
Spreitenbach,2537,12.1
Schlieren,664,3.2
Neuenhof,661,3.2
Killwangen,654,3.1
Winterthur,434,2.1
Basel,270,1.3
Dübendorf,268,1.3
Bremgarten (AG),250,1.2
Baden,249,1.2
Aarau,229,1.1
Geroldswil,223,1.1
Stetten (AG),194,0.9
Kloten,184,0.9
Rudolfstetten-Friedlisberg,154,0.7
Bergdietikon,150,0.7
Bern,131,0.6
Wallisellen,126,0.6
Wohlen (AG),122,0.6
