Fahrten,Namen
3446,Urdorf
573,Zürich
386,Birmensdorf (ZH)
208,Schlieren
146,Uitikon
144,Dietikon
133,Affoltern am Albis
86,Stallikon
71,Bonstetten
63,Adliswil
61,Thalwil
61,Wettswil am Albis
58,Rudolfstetten-Friedlisberg
52,Zug
49,Wädenswil
47,Cham
45,Horgen
45,Baar
44,Freienbach
43,Spreitenbach
