Namen,Fahrten,Anteil (%)
Wetzikon (ZH) - Winterthur,361,7.1
Rapperswil-Jona - Winterthur,281,5.5
Bäretswil - Zürich,232,4.6
Pfäffikon - Wetzikon (ZH),226,4.5
Hinwil - Winterthur,188,3.7
Rüti (ZH) - Winterthur,178,3.5
Wetzikon (ZH) - Zürich,171,3.4
Wald (ZH) - Winterthur,171,3.4
Pfäffikon - Rüti (ZH),114,2.3
Freienbach - Winterthur,78,1.5
Fehraltorf - Wetzikon (ZH),76,1.5
Pfäffikon - Rapperswil-Jona,73,1.4
Rüti (ZH) - Wetzikon (ZH),68,1.3
Fehraltorf - Rüti (ZH),63,1.2
St. Gallen - Wetzikon (ZH),61,1.2
Kreuzlingen - Rüti (ZH),52,1.0
Fehraltorf - Rapperswil-Jona,51,1.0
Glarus Nord - Winterthur,50,1.0
Freienbach - Pfäffikon,46,0.9
Bubikon - Pfäffikon,44,0.9
