Namen,Fahrten,Anteil (%)
Wetzikon (ZH),15014,26.1
Pfäffikon,6834,11.9
Hinwil,4499,7.8
Bäretswil,3600,6.3
Winterthur,2550,4.4
Hittnau,2242,3.9
Fehraltorf,1769,3.1
Rapperswil-Jona,1527,2.7
Rüti (ZH),1483,2.6
Bauma,1458,2.5
Dürnten,936,1.6
Wald (ZH),893,1.6
Russikon,828,1.4
Uster,704,1.2
Gossau (ZH),590,1.0
Bubikon,570,1.0
Illnau-Effretikon,568,1.0
Freienbach,391,0.7
Turbenthal,383,0.7
Wila,381,0.7
