Namen,Fahrten,Anteil (%)
Winterthur,1656,16.4
Wetzikon (ZH),1555,15.4
Pfäffikon,820,8.1
Rüti (ZH),597,5.9
Rapperswil-Jona,566,5.6
Bäretswil,442,4.4
Zürich,438,4.3
Fehraltorf,389,3.8
Hinwil,372,3.7
Freienbach,232,2.3
Wald (ZH),212,2.1
Schaffhausen,150,1.5
Bubikon,122,1.2
Illnau-Effretikon,119,1.2
Dürnten,106,1.0
Glarus Nord,82,0.8
Kreuzlingen,80,0.8
Glarus,73,0.7
Chur,71,0.7
Russikon,70,0.7
