Namen,Fahrten,Anteil (%)
Kloten,5509,37.0
Zürich,2123,14.2
Bassersdorf,1220,8.2
Embrach,411,2.8
Dietlikon,316,2.1
Nürensdorf,271,1.8
Winterthur,248,1.7
Basel,189,1.3
Bern,114,0.8
Schlieren,109,0.7
Opfikon,105,0.7
Zug,104,0.7
Illnau-Effretikon,72,0.5
Lufingen,71,0.5
Dielsdorf,69,0.5
Thalwil,68,0.5
Lindau,67,0.5
Baar,67,0.5
Regensdorf,61,0.4
Dietikon,59,0.4
