Namen,Fahrten,Anteil (%)
Kloten,16092,38.5
Bassersdorf,3534,8.5
Zürich,2869,6.9
Bülach,1315,3.1
Embrach,1107,2.6
Opfikon,803,1.9
Dübendorf,711,1.7
Nürensdorf,691,1.7
Dietlikon,655,1.6
Wallisellen,518,1.2
Regensdorf,496,1.2
Bachenbülach,480,1.1
Lindau,437,1.0
Rümlang,430,1.0
Lufingen,350,0.8
Winkel,344,0.8
Illnau-Effretikon,306,0.7
Volketswil,275,0.7
Wangen-Brüttisellen,266,0.6
Basel,226,0.5
