Fahrten,Namen
3655,765 (Verkehrsbetriebe Glattal)
3347,S7 (Schweizerische Bundesbahnen SBB)
1911,S24 (Schweizerische Bundesbahnen SBB)
879,520 (PostAuto AG)
752,IC5 (Schweizerische Bundesbahnen SBB)
590,531 (PostAuto AG)
511,510 (PostAuto AG)
438,530 (PostAuto AG)
428,12 (Verkehrsbetriebe Zürich INFO+)
406,S9 (Schweizerische Bundesbahnen SBB)
342,S6 (Schweizerische Bundesbahnen SBB)
338,S5 (Schweizerische Bundesbahnen SBB)
320,S3 (Schweizerische Bundesbahnen SBB)
312,S2 (Schweizerische Bundesbahnen SBB)
307,S12 (Schweizerische Bundesbahnen SBB)
291,EC (Schweizerische Bundesbahnen SBB)
290,521 (PostAuto AG)
288,732 (Verkehrsbetriebe Glattal)
277,S19 (Schweizerische Bundesbahnen SBB)
276,S15 (Schweizerische Bundesbahnen SBB)
