Namen,Fahrten,Anteil (%)
Greifensee,972,20.9
Uster,799,17.2
Winterthur,305,6.5
Meilen,216,4.7
Rapperswil-Jona,209,4.5
Rüti (ZH),173,3.7
Stäfa,136,2.9
Männedorf,128,2.7
Erlenbach (ZH),122,2.6
Bubikon,86,1.8
Uetikon am See,80,1.7
St. Gallen,71,1.5
Schaffhausen,71,1.5
Herrliberg,69,1.5
Zürich,66,1.4
Küsnacht (ZH),65,1.4
Hinwil,60,1.3
Dürnten,56,1.2
Wald (ZH),54,1.2
Freienbach,50,1.1
