Namen,Fahrten,Anteil (%)
Uster,3689,24.5
Greifensee,2970,19.8
Winterthur,668,4.4
Meilen,479,3.2
Egg,467,3.1
Wetzikon (ZH),439,2.9
Stäfa,428,2.8
Mönchaltorf,399,2.7
Männedorf,302,2.0
Rapperswil-Jona,283,1.9
Oetwil am See,272,1.8
Gossau (ZH),248,1.6
Küsnacht (ZH),246,1.6
Uetikon am See,214,1.4
Rüti (ZH),209,1.4
Hinwil,178,1.2
Erlenbach (ZH),149,1.0
Bubikon,147,1.0
Illnau-Effretikon,137,0.9
Hombrechtikon,128,0.8
