Namen,Fahrten,Anteil (%)
Winterthur,24284,41.3
Seuzach,4410,7.5
Hettlingen,4123,7.0
Neftenbach,1867,3.2
Frauenfeld,1865,3.2
Wiesendangen,1055,1.8
Andelfingen,701,1.2
Pfungen,699,1.2
Henggart,673,1.1
Dägerlen,652,1.1
Rickenbach (ZH),641,1.1
Schaffhausen,568,1.0
Kirchberg (SG),566,1.0
Kreuzlingen,558,0.9
St. Gallen,460,0.8
Aadorf,396,0.7
Gachnang,367,0.6
Flaach,354,0.6
Embrach,322,0.5
Zürich,305,0.5
