Namen,Fahrten,Anteil (%)
Winterthur,8786,44.3
Zürich,772,3.9
St. Gallen,754,3.8
Frauenfeld,675,3.4
Hettlingen,654,3.3
Schaffhausen,603,3.0
Seuzach,584,2.9
Kirchberg (SG),504,2.5
Bülach,317,1.6
Weinfelden,295,1.5
Andelfingen,250,1.3
Laufen-Uhwiesen,228,1.2
Neftenbach,198,1.0
Embrach,160,0.8
Gossau (SG),151,0.8
Pfungen,141,0.7
Eschlikon,136,0.7
Uzwil,135,0.7
Kreuzlingen,132,0.7
Aadorf,129,0.7
