Namen,Fahrten,Anteil (%)
Schlieren,11410,41.5
Zürich,6519,23.7
Dietikon,1790,6.5
Urdorf,1395,5.1
Unterengstringen,276,1.0
Spreitenbach,231,0.8
Uitikon,231,0.8
Geroldswil,217,0.8
Dübendorf,208,0.8
Regensdorf,174,0.6
Winterthur,164,0.6
Kloten,149,0.5
Weiningen (ZH),124,0.5
Birmensdorf (ZH),107,0.4
Zollikon,99,0.4
Opfikon,89,0.3
Wallisellen,88,0.3
Affoltern am Albis,84,0.3
Wettingen,84,0.3
Küsnacht (ZH),80,0.3
