Namen,Fahrten,Anteil (%)
Schlieren,6272,39.9
Zürich,5341,34.0
Dietikon,906,5.8
Urdorf,560,3.6
Uitikon,218,1.4
Unterengstringen,199,1.3
Dübendorf,120,0.8
Winterthur,83,0.5
Weiningen (ZH),80,0.5
Küsnacht (ZH),62,0.4
Zollikon,62,0.4
Neuenhof,61,0.4
Wallisellen,54,0.3
Geroldswil,51,0.3
Kloten,51,0.3
Opfikon,50,0.3
Baden,46,0.3
Dietlikon,45,0.3
Wettingen,43,0.3
Rudolfstetten-Friedlisberg,42,0.3
