Namen,Fahrten,Anteil (%)
Hinwil - Wetzikon (ZH),4163,13.8
Rüti (ZH) - Wetzikon (ZH),1165,3.9
Hinwil - Pfäffikon,945,3.1
Dürnten - Wetzikon (ZH),894,3.0
Hinwil - Rüti (ZH),818,2.7
Wald (ZH) - Wetzikon (ZH),763,2.5
Rapperswil-Jona - Wetzikon (ZH),593,2.0
Hinwil - Wald (ZH),523,1.7
Dürnten - Hinwil,509,1.7
Hinwil - Uster,457,1.5
Hinwil - Rapperswil-Jona,449,1.5
Hinwil - Winterthur,407,1.4
Bäretswil - Hinwil,334,1.1
Pfäffikon - Rapperswil-Jona,329,1.1
Rapperswil-Jona - Winterthur,328,1.1
Pfäffikon - Rüti (ZH),315,1.0
Hinwil - Volketswil,310,1.0
Bubikon - Wetzikon (ZH),281,0.9
Hinwil - Hittnau,269,0.9
Fehraltorf - Hinwil,245,0.8
