Namen,Fahrten,Anteil (%)
Hinwil,1635,17.8
Wetzikon (ZH),947,10.3
Winterthur,920,10.0
Rüti (ZH),789,8.6
Pfäffikon,526,5.7
Rapperswil-Jona,507,5.5
Wald (ZH),343,3.7
Fehraltorf,265,2.9
Freienbach,244,2.7
Dürnten,189,2.1
Zürich,187,2.0
Greifensee,171,1.9
Uster,166,1.8
Dübendorf,155,1.7
Bubikon,148,1.6
Volketswil,126,1.4
Kloten,105,1.1
Kreuzlingen,82,0.9
Illnau-Effretikon,74,0.8
Wallisellen,68,0.7
