Namen,Fahrten,Anteil (%)
Hinwil,11070,23.1
Wetzikon (ZH),7114,14.8
Rapperswil-Jona,2503,5.2
Pfäffikon,2444,5.1
Rüti (ZH),2312,4.8
Wald (ZH),2052,4.3
Winterthur,1986,4.1
Dürnten,1689,3.5
Fehraltorf,908,1.9
Zürich,729,1.5
Hittnau,646,1.3
Bubikon,615,1.3
Freienbach,573,1.2
Eschenbach (SG),539,1.1
Bäretswil,521,1.1
Fischenthal,467,1.0
Uster,444,0.9
Bauma,397,0.8
Russikon,364,0.8
Volketswil,352,0.7
