Namen,Fahrten,Anteil (%)
Greifensee,1951,30.9
Volketswil,1431,22.7
Zürich,683,10.8
Wetzikon (ZH),241,3.8
Schwerzenbach,223,3.5
Dübendorf,201,3.2
Hinwil,138,2.2
Winterthur,116,1.8
Rapperswil-Jona,108,1.7
Wallisellen,98,1.6
Fällanden,96,1.5
Rüti (ZH),96,1.5
Bubikon,67,1.1
Wald (ZH),67,1.1
Dürnten,58,0.9
Uster,58,0.9
Freienbach,38,0.6
Kloten,37,0.6
Zollikon,35,0.6
Opfikon,27,0.4
