Namen,Fahrten,Anteil (%)
Volketswil,10608,33.1
Greifensee,4702,14.7
Uster,3233,10.1
Fällanden,1616,5.0
Schwerzenbach,1200,3.7
Wetzikon (ZH),1160,3.6
Zürich,1108,3.5
Fehraltorf,814,2.5
Pfäffikon,705,2.2
Dübendorf,694,2.2
Illnau-Effretikon,585,1.8
Maur,398,1.2
Hinwil,334,1.0
Russikon,263,0.8
Dietlikon,237,0.7
Winterthur,203,0.6
Gossau (ZH),185,0.6
Zollikon,181,0.6
Mönchaltorf,163,0.5
Hittnau,161,0.5
