Namen,Fahrten,Anteil (%)
Zürich,4192,26.7
Fällanden,2764,17.6
Dübendorf,1450,9.2
Volketswil,1345,8.6
Greifensee,726,4.6
Küsnacht (ZH),527,3.4
Zollikon,508,3.2
Schwerzenbach,493,3.1
Maur,245,1.6
Zumikon,211,1.3
Uster,191,1.2
Meilen,187,1.2
Wallisellen,175,1.1
Winterthur,168,1.1
Kloten,167,1.1
Dietlikon,164,1.0
Uetikon am See,126,0.8
Rüti (ZH),120,0.8
Rapperswil-Jona,114,0.7
Egg,94,0.6
