Namen,Fahrten,Anteil (%)
Fällanden,10666,19.5
Zürich,7585,13.9
Dübendorf,6780,12.4
Maur,4104,7.5
Volketswil,3672,6.7
Zollikon,2304,4.2
Küsnacht (ZH),2221,4.1
Greifensee,1626,3.0
Zumikon,1444,2.6
Schwerzenbach,1249,2.3
Wallisellen,1207,2.2
Dietlikon,862,1.6
Uster,776,1.4
Kloten,710,1.3
Egg,580,1.1
Meilen,440,0.8
Opfikon,422,0.8
Winterthur,386,0.7
Uetikon am See,272,0.5
Wangen-Brüttisellen,270,0.5
