Namen,Fahrten,Anteil (%)
Urdorf,3446,47.2
Zürich,573,7.8
Birmensdorf (ZH),386,5.3
Schlieren,208,2.8
Uitikon,146,2.0
Dietikon,144,2.0
Affoltern am Albis,133,1.8
Stallikon,86,1.2
Bonstetten,71,1.0
Adliswil,63,0.9
Thalwil,61,0.8
Wettswil am Albis,61,0.8
Rudolfstetten-Friedlisberg,58,0.8
Zug,52,0.7
Wädenswil,49,0.7
Cham,47,0.6
Horgen,45,0.6
Baar,45,0.6
Freienbach,44,0.6
Spreitenbach,43,0.6
